Date,Clicks,Impressions,CTR,Position
2025-10-20,0,0,,
2025-10-21,5,31,16.13%,4.8
2025-10-22,4,22,18.18%,35.8
2025-10-23,3,22,13.64%,41.1
2025-10-24,0,24,0%,52.7
2025-10-25,2,39,5.13%,43.8
2025-10-26,0,39,0%,52.6
2025-10-27,0,17,0%,43.9
2025-10-28,4,48,8.33%,31.2
2025-10-29,2,58,3.45%,41.3
2025-10-30,1,49,2.04%,33.5
2025-10-31,0,60,0%,37.2
2025-11-01,1,52,1.92%,35.9
2025-11-02,0,35,0%,44.4
2025-11-03,0,50,0%,45.8
2025-11-04,3,50,6%,44.2
2025-11-05,0,54,0%,50.5
2025-11-06,1,23,4.35%,36.8
2025-11-07,0,13,0%,54.7
2025-11-08,0,17,0%,50.3
2025-11-09,1,21,4.76%,30.6
2025-11-10,1,23,4.35%,33.1
2025-11-11,1,24,4.17%,21.7
2025-11-12,0,21,0%,28.8
2025-11-13,4,23,17.39%,22.1
2025-11-14,0,20,0%,34
2025-11-15,0,15,0%,34.4
2025-11-16,0,28,0%,23.3
2025-11-17,0,18,0%,25.4
2025-11-18,0,28,0%,19.4
2025-11-19,0,26,0%,40.6
2025-11-20,1,29,3.45%,24.6
2025-11-21,0,22,0%,27.7
2025-11-22,1,24,4.17%,28
2025-11-23,0,26,0%,28.7
2025-11-24,0,31,0%,28.3
2025-11-25,0,28,0%,28.6
2025-11-26,0,30,0%,17.2
2025-11-27,1,20,5%,21.8
2025-11-28,0,34,0%,21.5
2025-11-29,0,78,0%,33.2
2025-11-30,0,142,0%,35.8
2025-12-01,0,144,0%,32.3
2025-12-02,0,143,0%,32.7
2025-12-03,1,282,0.35%,16.9
2025-12-04,0,145,0%,33
2025-12-05,1,163,0.61%,29.7
2025-12-06,0,149,0%,32
2025-12-07,3,155,1.94%,27.6
2025-12-08,1,290,0.34%,20.6
2025-12-09,0,155,0%,32.7
2025-12-10,1,148,0.68%,35
2025-12-11,0,147,0%,34.9
2025-12-12,3,130,2.31%,36
2025-12-13,0,131,0%,37.6
2025-12-14,0,146,0%,35
2025-12-15,1,255,0.39%,24.3
2025-12-16,2,174,1.15%,37.6
2025-12-17,0,144,0%,37.3
2025-12-18,1,182,0.55%,34.1
2025-12-19,1,160,0.62%,38.4
2025-12-20,1,143,0.7%,35.9
2025-12-21,1,154,0.65%,34.5
2025-12-22,0,252,0%,28.6
2025-12-23,2,161,1.24%,37.1
2025-12-24,1,152,0.66%,37.1
2025-12-25,0,195,0%,41.9
2025-12-26,0,202,0%,44.4
2025-12-27,0,203,0%,43.1
2025-12-28,0,187,0%,44.7
2025-12-29,1,308,0.32%,34.1
2025-12-30,0,204,0%,45.2
2025-12-31,0,211,0%,47.3
2026-01-01,1,228,0.44%,44.7
2026-01-02,0,231,0%,48.9
